,id,hour,source,number
453,40198,6.0,TruckSource40,8
454,40199,6.0,TruckSource41,9
455,40200,6.0,TruckSource42,8
456,40201,6.0,TruckSource43,8
457,40202,6.0,TruckSource44,11
458,40203,6.0,TruckSource45,10
459,40204,6.0,TruckSource46,9
460,40205,6.0,TruckSource47,10
461,40206,6.0,TruckSource48,10
462,40207,6.0,TruckSource49,9
463,40208,6.0,TruckSource50,9
464,40209,6.0,TruckSource51,15
465,40210,6.0,TruckSource52,16
466,40211,6.0,TruckSource53,15
467,40212,6.0,TruckSource54,16
468,40213,6.0,TruckSource55,6
469,40214,6.0,TruckSource56,5
470,40215,6.0,TruckSource57,5
471,40216,6.0,TruckSource58,5
472,40217,6.0,TruckSource59,7
473,40218,6.0,TruckSource60,3
474,40219,6.0,TruckSource61,4
475,40220,6.0,TruckSource62,4
476,40221,6.0,TruckSource63,4
477,40222,6.0,TruckSource64,4
478,40223,6.0,TruckSource65,3
479,40224,6.0,TruckSource66,3
480,40225,6.0,TruckSource67,3
481,40226,6.0,TruckSource68,3
482,40227,6.0,TruckSource69,4
483,40228,7.0,TruckSource1,37
484,40229,7.0,TruckSource2,37
485,40230,7.0,TruckSource3,24
486,40231,7.0,TruckSource4,24
487,40232,7.0,TruckSource5,41
488,40233,7.0,TruckSource6,42
489,40234,7.0,TruckSource7,40
490,40235,7.0,TruckSource8,32
491,40236,7.0,TruckSource9,33
492,40237,7.0,TruckSource10,36
493,40238,7.0,TruckSource11,34
494,40239,7.0,TruckSource12,27
495,40240,7.0,TruckSource13,30
496,40241,7.0,TruckSource14,29
497,40242,7.0,TruckSource15,31
498,40243,7.0,TruckSource16,30
499,40244,7.0,TruckSource17,33
500,40245,7.0,TruckSource18,32
501,40246,7.0,TruckSource19,33
502,40247,7.0,TruckSource20,34
503,40248,7.0,TruckSource21,35
504,40249,7.0,TruckSource22,34
505,40250,7.0,TruckSource23,36
506,40251,7.0,TruckSource24,35
507,40252,7.0,TruckSource25,25
508,40253,7.0,TruckSource26,24
509,40254,7.0,TruckSource27,33
510,40255,7.0,TruckSource28,34
511,40256,7.0,TruckSource29,38
512,40257,7.0,TruckSource30,30
513,40258,7.0,TruckSource31,39
514,40259,7.0,TruckSource32,26
515,40260,7.0,TruckSource33,28
516,40261,7.0,TruckSource34,25
517,40262,7.0,TruckSource35,38
518,40263,7.0,TruckSource36,35
519,40264,7.0,TruckSource37,11
520,40265,7.0,TruckSource38,9
521,40266,7.0,TruckSource39,9
522,40267,7.0,TruckSource40,10
523,40268,7.0,TruckSource41,11
524,40269,7.0,TruckSource42,10
525,40270,7.0,TruckSource43,10
526,40271,7.0,TruckSource44,12
527,40272,7.0,TruckSource45,11
528,40273,7.0,TruckSource46,10
529,40274,7.0,TruckSource47,11
530,40275,7.0,TruckSource48,11
531,40276,7.0,TruckSource49,10
532,40277,7.0,TruckSource50,11
533,40278,7.0,TruckSource51,18
534,40279,7.0,TruckSource52,19
535,40280,7.0,TruckSource53,17
536,40281,7.0,TruckSource54,18
537,40282,7.0,TruckSource55,7
538,40283,7.0,TruckSource56,5
539,40284,7.0,TruckSource57,6
540,40285,7.0,TruckSource58,6
541,40286,7.0,TruckSource59,8
542,40287,7.0,TruckSource60,4
543,40288,7.0,TruckSource61,5
544,40289,7.0,TruckSource62,4
545,40290,7.0,TruckSource63,5
546,40291,7.0,TruckSource64,4
547,40292,7.0,TruckSource65,4
548,40293,7.0,TruckSource66,4
549,40294,7.0,TruckSource67,4
550,40295,7.0,TruckSource68,3
551,40296,7.0,TruckSource69,4
552,40297,8.0,TruckSource1,42
553,40298,8.0,TruckSource2,42
554,40299,8.0,TruckSource3,27
555,40300,8.0,TruckSource4,28
556,40301,8.0,TruckSource5,46
557,40302,8.0,TruckSource6,48
558,40303,8.0,TruckSource7,46
559,40304,8.0,TruckSource8,37
560,40305,8.0,TruckSource9,38
561,40306,8.0,TruckSource10,40
562,40307,8.0,TruckSource11,38
563,40308,8.0,TruckSource12,32
564,40309,8.0,TruckSource13,34
565,40310,8.0,TruckSource14,33
566,40311,8.0,TruckSource15,35
567,40312,8.0,TruckSource16,35
568,40313,8.0,TruckSource17,38
569,40314,8.0,TruckSource18,36
570,40315,8.0,TruckSource19,38
571,40316,8.0,TruckSource20,38
572,40317,8.0,TruckSource21,40
573,40318,8.0,TruckSource22,39
574,40319,8.0,TruckSource23,42
575,40320,8.0,TruckSource24,40
576,40321,8.0,TruckSource25,28
577,40322,8.0,TruckSource26,28
578,40323,8.0,TruckSource27,37
579,40324,8.0,TruckSource28,38
580,40325,8.0,TruckSource29,44
581,40326,8.0,TruckSource30,35
582,40327,8.0,TruckSource31,45
583,40328,8.0,TruckSource32,29
584,40329,8.0,TruckSource33,32
585,40330,8.0,TruckSource34,29
586,40331,8.0,TruckSource35,44
587,40332,8.0,TruckSource36,40
588,40333,8.0,TruckSource37,12
589,40334,8.0,TruckSource38,11
590,40335,8.0,TruckSource39,11
591,40336,8.0,TruckSource40,11
592,40337,8.0,TruckSource41,12
593,40338,8.0,TruckSource42,11
594,40339,8.0,TruckSource43,11
595,40340,8.0,TruckSource44,14
596,40341,8.0,TruckSource45,13
597,40342,8.0,TruckSource46,12
598,40343,8.0,TruckSource47,12
599,40344,8.0,TruckSource48,12
600,40345,8.0,TruckSource49,12
601,40346,8.0,TruckSource50,12
602,40347,8.0,TruckSource51,20
603,40348,8.0,TruckSource52,22
604,40349,8.0,TruckSource53,20
605,40350,8.0,TruckSource54,21
606,40351,8.0,TruckSource55,8
607,40352,8.0,TruckSource56,6
608,40353,8.0,TruckSource57,7
609,40354,8.0,TruckSource58,7
610,40355,8.0,TruckSource59,10
611,40356,8.0,TruckSource60,4
612,40357,8.0,TruckSource61,5
613,40358,8.0,TruckSource62,5
614,40359,8.0,TruckSource63,5
615,40360,8.0,TruckSource64,5
616,40361,8.0,TruckSource65,4
617,40362,8.0,TruckSource66,4
618,40363,8.0,TruckSource67,4
619,40364,8.0,TruckSource68,4
620,40365,8.0,TruckSource69,4
621,40366,9.0,TruckSource1,47
622,40367,9.0,TruckSource2,47
623,40368,9.0,TruckSource3,30
624,40369,9.0,TruckSource4,31
625,40370,9.0,TruckSource5,53
626,40371,9.0,TruckSource6,54
627,40372,9.0,TruckSource7,51
628,40373,9.0,TruckSource8,42
629,40374,9.0,TruckSource9,42
630,40375,9.0,TruckSource10,44
631,40376,9.0,TruckSource11,43
632,40377,9.0,TruckSource12,36
633,40378,9.0,TruckSource13,38
634,40379,9.0,TruckSource14,37
635,40380,9.0,TruckSource15,39
636,40381,9.0,TruckSource16,39
637,40382,9.0,TruckSource17,42
638,40383,9.0,TruckSource18,41
639,40384,9.0,TruckSource19,42
640,40385,9.0,TruckSource20,43
641,40386,9.0,TruckSource21,45
642,40387,9.0,TruckSource22,44
643,40388,9.0,TruckSource23,46
644,40389,9.0,TruckSource24,45
645,40390,9.0,TruckSource25,31
646,40391,9.0,TruckSource26,31
647,40392,9.0,TruckSource27,42
648,40393,9.0,TruckSource28,43
649,40394,9.0,TruckSource29,50
650,40395,9.0,TruckSource30,39
651,40396,9.0,TruckSource31,50
652,40397,9.0,TruckSource32,32
653,40398,9.0,TruckSource33,36
654,40399,9.0,TruckSource34,34
655,40400,9.0,TruckSource35,49
656,40401,9.0,TruckSource36,46
657,40402,9.0,TruckSource37,13
658,40403,9.0,TruckSource38,13
659,40404,9.0,TruckSource39,12
660,40405,9.0,TruckSource40,13
661,40406,9.0,TruckSource41,14
662,40407,9.0,TruckSource42,12
663,40408,9.0,TruckSource43,13
664,40409,9.0,TruckSource44,15
665,40410,9.0,TruckSource45,15
666,40411,9.0,TruckSource46,13
667,40412,9.0,TruckSource47,14
668,40413,9.0,TruckSource48,14
669,40414,9.0,TruckSource49,13
670,40415,9.0,TruckSource50,13
671,40416,9.0,TruckSource51,22
672,40417,9.0,TruckSource52,25
673,40418,9.0,TruckSource53,22
674,40419,9.0,TruckSource54,23
675,40420,9.0,TruckSource55,8
676,40421,9.0,TruckSource56,7
677,40422,9.0,TruckSource57,7
678,40423,9.0,TruckSource58,7
679,40424,9.0,TruckSource59,11
680,40425,9.0,TruckSource60,5
681,40426,9.0,TruckSource61,6
682,40427,9.0,TruckSource62,5
683,40428,9.0,TruckSource63,6
684,40429,9.0,TruckSource64,5
685,40430,9.0,TruckSource65,4
686,40431,9.0,TruckSource66,5
687,40432,9.0,TruckSource67,4
688,40433,9.0,TruckSource68,4
689,40434,9.0,TruckSource69,5
690,40435,10.0,TruckSource1,53
691,40436,10.0,TruckSource2,53
692,40437,10.0,TruckSource3,34
693,40438,10.0,TruckSource4,34
694,40439,10.0,TruckSource5,58
695,40440,10.0,TruckSource6,60
696,40441,10.0,TruckSource7,57
697,40442,10.0,TruckSource8,46
698,40443,10.0,TruckSource9,47
699,40444,10.0,TruckSource10,49
700,40445,10.0,TruckSource11,48
701,40446,10.0,TruckSource12,41
702,40447,10.0,TruckSource13,42
703,40448,10.0,TruckSource14,41
704,40449,10.0,TruckSource15,43
705,40450,10.0,TruckSource16,43
706,40451,10.0,TruckSource17,47
707,40452,10.0,TruckSource18,45
708,40453,10.0,TruckSource19,46
709,40454,10.0,TruckSource20,47
710,40455,10.0,TruckSource21,50
711,40456,10.0,TruckSource22,48
712,40457,10.0,TruckSource23,51
713,40458,10.0,TruckSource24,50
714,40459,10.0,TruckSource25,35
715,40460,10.0,TruckSource26,34
716,40461,10.0,TruckSource27,46
717,40462,10.0,TruckSource28,47
718,40463,10.0,TruckSource29,55
719,40464,10.0,TruckSource30,44
720,40465,10.0,TruckSource31,55
721,40466,10.0,TruckSource32,36
722,40467,10.0,TruckSource33,40
723,40468,10.0,TruckSource34,38
724,40469,10.0,TruckSource35,54
725,40470,10.0,TruckSource36,52
726,40471,10.0,TruckSource37,14
727,40472,10.0,TruckSource38,14
728,40473,10.0,TruckSource39,13
729,40474,10.0,TruckSource40,14
730,40475,10.0,TruckSource41,15
731,40476,10.0,TruckSource42,14
732,40477,10.0,TruckSource43,14
733,40478,10.0,TruckSource44,17
734,40479,10.0,TruckSource45,16
735,40480,10.0,TruckSource46,15
736,40481,10.0,TruckSource47,15
737,40482,10.0,TruckSource48,15
738,40483,10.0,TruckSource49,14
739,40484,10.0,TruckSource50,15
740,40485,10.0,TruckSource51,24
741,40486,10.0,TruckSource52,27
742,40487,10.0,TruckSource53,25
743,40488,10.0,TruckSource54,26
744,40489,10.0,TruckSource55,9
745,40490,10.0,TruckSource56,7
746,40491,10.0,TruckSource57,8
747,40492,10.0,TruckSource58,8
748,40493,10.0,TruckSource59,12
749,40494,10.0,TruckSource60,5
750,40495,10.0,TruckSource61,6
751,40496,10.0,TruckSource62,6
752,40497,10.0,TruckSource63,6
753,40498,10.0,TruckSource64,6
754,40499,10.0,TruckSource65,5
755,40500,10.0,TruckSource66,5
756,40501,10.0,TruckSource67,5
757,40502,10.0,TruckSource68,5
758,40503,10.0,TruckSource69,6
759,40504,11.0,TruckSource1,58
760,40505,11.0,TruckSource2,57
761,40506,11.0,TruckSource3,38
762,40507,11.0,TruckSource4,37
763,40508,11.0,TruckSource5,65
764,40509,11.0,TruckSource6,67
765,40510,11.0,TruckSource7,63
766,40511,11.0,TruckSource8,51
767,40512,11.0,TruckSource9,52
768,40513,11.0,TruckSource10,53
769,40514,11.0,TruckSource11,52
770,40515,11.0,TruckSource12,45
771,40516,11.0,TruckSource13,46
772,40517,11.0,TruckSource14,45
773,40518,11.0,TruckSource15,47
774,40519,11.0,TruckSource16,48
